scenario,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_radius,selected_is_planted_group,n_search_cells
planted,same_data_search,0.8,5,True,x0>1 & x1>1,"[0.00, 0.14]",0.893646434399482,1.4128355557257735,1.8228726735661005,False,598
planted,full_family_simultaneous,0.8,5,False,x0>1 & x1>1,"[0.00, 0.14]",0.893646434399482,1.4128355557257735,1.8228726735661005,False,598
planted,split_search_naive,0.8,5,True,x0>1,"[0.00, 0.14]",0.81160937703752,4.9333729717614005,0.5510164014691414,False,577
planted,split_search_certified,0.8,5,True,x0>1,"[0.00, 0.14]",0.81160937703752,4.9333729717614005,0.5510164014691414,False,577
null,same_data_search,0.8,6,True,x4<-0.5,"[0.71, 0.86]",0.6544297029837403,1.81543545779153,1.6097956258164128,False,610
null,full_family_simultaneous,0.8,6,False,x4<-0.5,"[0.71, 0.86]",0.6544297029837403,1.81543545779153,1.6097956258164128,False,610
null,split_search_naive,0.8,6,False,none,none,,,,False,603
null,split_search_certified,0.8,6,False,none,none,,,,False,603
planted,same_data_search,0.8,6,True,x0>1 & x1>1,"[0.14, 0.29]",0.7832612478434484,1.8709598176365205,1.5857288206881517,False,610
planted,full_family_simultaneous,0.8,6,True,x0>0.5,"[0.00, 0.14]",0.5781038936282331,38.82437653826854,0.34810391252165146,True,610
planted,split_search_naive,0.8,6,True,x0>1 & x3>1,"[0.00, 0.14]",0.34787422620565395,2.7183010965611065,0.7423141191289149,False,603
planted,split_search_certified,0.8,6,False,x0>1 & x3>1,"[0.00, 0.14]",0.34787422620565395,2.7183010965611065,0.7423141191289149,False,603
null,same_data_search,0.8,7,True,x0>2,"[0.43, 0.57]",0.5044186348568009,1.1734065146484383,1.9989660088839245,False,591
null,full_family_simultaneous,0.8,7,False,x0>2,"[0.43, 0.57]",0.5044186348568009,1.1734065146484383,1.9989660088839245,False,591
null,split_search_naive,0.8,7,False,none,none,,,,False,590
null,split_search_certified,0.8,7,False,none,none,,,,False,590
planted,same_data_search,0.8,7,True,x0>0.5 & x1>0.5,"[0.00, 0.14]",0.8967723314511079,3.1680719877663015,1.216556087097977,False,591
planted,full_family_simultaneous,0.8,7,False,x0>0.5 & x1>0.5,"[0.00, 0.14]",0.8967723314511079,3.1680719877663015,1.216556087097977,False,591
