scenario_name,scenario_family,case_id,case_label,case_value,baseline,baseline_category,seed,severity,reference_accuracy,target_accuracy,reference_ece,target_ece,delta_accuracy,delta_ece,delta_log_loss,effective_sample_size,recalibrated_target_ece,recalibrated_target_log_loss,policy_name,score_method,threshold,target_coverage,target_abstention_rate,target_selective_accuracy,target_selective_risk,target_risk_reduction,target_selective_ece,target_ece_reduction,subgroup_abstention_gap
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,raw_model,reliability,7,0.2,0.7363636363636363,0.7818181818181819,0.06099267487063557,0.07528278802030913,0.045454545454545525,0.014290113149673565,0.010821720277493396,,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,weighting_only,reliability,7,0.2,0.7363636363636363,0.7818181818181819,0.06099267487063557,0.07528278802030913,0.045454545454545525,0.014290113149673565,0.010821720277493396,177.46390436730994,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,recalibration_only,reliability,7,0.2,0.6727272727272727,0.7681818181818182,0.1411159261331666,0.05855208163750247,0.09545454545454546,-0.08256384449566412,-0.08559976858765472,,0.07471533886938284,0.5110871790991298,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,confidence_abstention,selective,7,0.2,,,,,,,,,,,confidence_abstention,confidence,0.6111970247911331,0.8090909090909091,0.19090909090909092,0.8314606741573034,0.1685393258426966,0.06327885597548522,0.07046479252020355,-0.011912710882701072,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,raw_model,reliability,7,0.8,0.7363636363636363,0.75,0.06099267487063557,0.06286142333605356,0.013636363636363669,0.0018687484654179923,-0.0005190020885080804,,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,weighting_only,reliability,7,0.8,0.7363636363636363,0.75,0.06099267487063557,0.06286142333605356,0.013636363636363669,0.0018687484654179923,-0.0005190020885080804,108.25207912991608,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,recalibration_only,reliability,7,0.8,0.6727272727272727,0.7545454545454545,0.1411159261331666,0.07477311487310093,0.08181818181818179,-0.06634281126006566,-0.09724573965062727,,0.05908801513337886,0.5022484514879354,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,confidence_abstention,selective,7,0.8,,,,,,,,,,,confidence_abstention,confidence,0.6111970247911331,0.8409090909090909,0.15909090909090906,0.7891891891891892,0.21081081081081077,0.034643734643734714,0.06931156669021153,0.005461548182889395,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,raw_model,reliability,7,1.4,0.7363636363636363,0.7818181818181819,0.06099267487063557,0.05546848617308053,0.045454545454545525,-0.005524188697555034,-0.03293654795406176,,,,,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,weighting_only,reliability,7,1.4,0.7363636363636363,0.7818181818181819,0.06099267487063557,0.05546848617308053,0.045454545454545525,-0.005524188697555034,-0.03293654795406176,64.92844226237608,,,,,,,,,,,,,
