scenario,weight_mode,method,shift_strength,alarm_rate,planted_alarm_rate,median_selected_gap,median_selected_local_ess,median_label_radius,median_weight_radius,median_global_ess,median_weight_rmse,median_log_weight_corr
null,logistic_crossfit,label_ci,0.8,0.0,0.0,0.6096256090321476,1.6359768695036396,1.30801878015368,0.3619023187896124,220.91519740681088,0.6379598128891731,0.9896126303990986
null,logistic_crossfit,label_ci,1.2,0.0,0.0,0.6555612091735517,1.0992551227995373,1.56770381307911,1.0,106.8515890482127,3.064236204297746,0.9804626684388612
null,logistic_crossfit,naive_max,0.8,1.0,0.02,0.6096256090321476,1.6359768695036396,1.30801878015368,0.3619023187896124,220.91519740681088,0.6379598128891731,0.9896126303990986
null,logistic_crossfit,naive_max,1.2,1.0,0.0,0.6555612091735517,1.0992551227995373,1.56770381307911,1.0,106.8515890482127,3.064236204297746,0.9804626684388612
null,logistic_crossfit,nuisance_ci,0.8,0.0,0.0,0.6096256090321476,1.6359768695036396,1.30801878015368,0.3619023187896124,220.91519740681088,0.6379598128891731,0.9896126303990986
null,logistic_crossfit,nuisance_ci,1.2,0.0,0.0,0.6555612091735517,1.0992551227995373,1.56770381307911,1.0,106.8515890482127,3.064236204297746,0.9804626684388612
null,logistic_plugin,label_ci,0.8,0.0,0.0,0.6088475418794721,1.6120862156208942,1.3112150509403429,0.2616543909030086,213.73582139125915,0.49394089598893276,0.9945869663569892
null,logistic_plugin,label_ci,1.2,0.0,0.0,0.6646476948986985,1.0,1.6014430151073231,0.7829716386425392,102.48463557867976,2.8477766830125506,0.9890433104715546
null,logistic_plugin,naive_max,0.8,1.0,0.01,0.6088475418794721,1.6120862156208942,1.3112150509403429,0.2616543909030086,213.73582139125915,0.49394089598893276,0.9945869663569892
null,logistic_plugin,naive_max,1.2,1.0,0.0,0.6646476948986985,1.0,1.6014430151073231,0.7829716386425392,102.48463557867976,2.8477766830125506,0.9890433104715546
null,logistic_plugin,nuisance_ci,0.8,0.0,0.0,0.6088475418794721,1.6120862156208942,1.3112150509403429,0.2616543909030086,213.73582139125915,0.49394089598893276,0.9945869663569892
null,logistic_plugin,nuisance_ci,1.2,0.0,0.0,0.6646476948986985,1.0,1.6014430151073231,0.7829716386425392,102.48463557867976,2.8477766830125506,0.9890433104715546
null,oracle,label_ci,0.8,0.0,0.0,0.6106735469951083,1.5915032991223503,1.319906275946309,0.0,180.0335186581799,0.0,1.0
null,oracle,label_ci,1.2,0.0,0.0,0.6538480446695666,1.175762072346442,1.5201608772337891,0.0,43.21446998669458,0.0,1.0
null,oracle,naive_max,0.8,1.0,0.0,0.6106735469951083,1.5915032991223503,1.319906275946309,0.0,180.0335186581799,0.0,1.0
null,oracle,naive_max,1.2,1.0,0.0,0.6538480446695666,1.175762072346442,1.5201608772337891,0.0,43.21446998669458,0.0,1.0
null,oracle,nuisance_ci,0.8,0.0,0.0,0.6106735469951083,1.5915032991223503,1.319906275946309,0.0,180.0335186581799,0.0,1.0
null,oracle,nuisance_ci,1.2,0.0,0.0,0.6538480446695666,1.175762072346442,1.5201608772337891,0.0,43.21446998669458,0.0,1.0
planted,logistic_crossfit,label_ci,0.8,0.84,0.45,0.6825911235075508,14.300390888207613,0.4348587142268887,0.3785179290612836,220.91519740681088,0.6379598128891731,0.9896126303990986
planted,logistic_crossfit,label_ci,1.2,0.6,0.33,0.7481965303305482,8.069755812325116,0.5818203834474399,0.9914902706469185,106.8515890482127,3.064236204297746,0.9804626684388612
planted,logistic_crossfit,naive_max,0.8,1.0,0.17,0.831470322557633,2.7356219755657287,1.0026826775768953,0.3713920280140658,220.91519740681088,0.6379598128891731,0.9896126303990986
planted,logistic_crossfit,naive_max,1.2,1.0,0.15,0.8544659731965537,2.0263601622819696,1.1519880888076495,0.9764035256326742,106.8515890482127,3.064236204297746,0.9804626684388612
planted,logistic_crossfit,nuisance_ci,0.8,0.01,0.01,0.8288486243978759,2.7431389299324236,0.9962887938322732,0.3713920280140658,220.91519740681088,0.6379598128891731,0.9896126303990986
planted,logistic_crossfit,nuisance_ci,1.2,0.0,0.0,0.8544659731965537,2.0263601622819696,1.1519880888076495,0.9764035256326742,106.8515890482127,3.064236204297746,0.9804626684388612
planted,logistic_plugin,label_ci,0.8,0.85,0.43,0.6887919487195062,13.541295756535732,0.4509831110081935,0.2434167009478312,213.73582139125915,0.49394089598893276,0.9945869663569892
planted,logistic_plugin,label_ci,1.2,0.57,0.31,0.7445061870870125,8.313180837419083,0.5683544274071789,0.7235123557912807,102.48463557867976,2.8477766830125506,0.9890433104715546
planted,logistic_plugin,naive_max,0.8,1.0,0.14,0.8380353075971674,2.7324747650128125,1.0032992516706538,0.2983771749350552,213.73582139125915,0.49394089598893276,0.9945869663569892
planted,logistic_plugin,naive_max,1.2,1.0,0.12,0.8614820379265835,2.0,1.1617407354091642,0.7920360136837221,102.48463557867976,2.8477766830125506,0.9890433104715546
planted,logistic_plugin,nuisance_ci,0.8,0.12,0.11,0.8149290622204781,3.5073651243319506,0.8908624530423281,0.27476420469767,213.73582139125915,0.49394089598893276,0.9945869663569892
planted,logistic_plugin,nuisance_ci,1.2,0.01,0.0,0.8614820379265835,2.0,1.1617407354091642,0.7920360136837221,102.48463557867976,2.8477766830125506,0.9890433104715546
planted,oracle,label_ci,0.8,0.84,0.47,0.6940699152822803,14.926179268898517,0.42915733533501615,0.0,180.0335186581799,0.0,1.0
planted,oracle,label_ci,1.2,0.49,0.27,0.7436953972436467,6.90447853129154,0.6181568300004427,0.0,43.21446998669458,0.0,1.0
planted,oracle,naive_max,0.8,1.0,0.16,0.835757190249828,2.5723708965159195,1.0296359821345695,0.0,180.0335186581799,0.0,1.0
planted,oracle,naive_max,1.2,1.0,0.15,0.8723132110026763,1.9443477216256164,1.1790199897459157,0.0,43.21446998669458,0.0,1.0
planted,oracle,nuisance_ci,0.8,0.84,0.47,0.6940699152822803,14.926179268898517,0.42915733533501615,0.0,180.0335186581799,0.0,1.0
planted,oracle,nuisance_ci,1.2,0.49,0.27,0.7436953972436467,6.90447853129154,0.6181568300004427,0.0,43.21446998669458,0.0,1.0
