scenario,method,shift_strength,seed,alarm,abstained,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_ci_half_width,global_ess,n_cells,n_eligible_cells,selected_is_planted_group
null,local_ess_gate,0.4,176,False,False,x2>0.5,"[0.57, 0.71]",0.16368863742096765,34.74400205355728,0.27789645751613073,632.741808088254,95,55,False
null,simultaneous_ci,0.4,176,False,False,x0>1.5 & x1>1,"[0.29, 0.43]",0.6310213128600578,3.257180289040493,0.9076157688276767,632.741808088254,95,95,False
planted,naive_max,0.4,176,True,False,x0>1 & x2>1,"[0.29, 0.43]",0.6784787665728025,3.9175249404271275,0.8275934535532649,632.741808088254,95,95,False
planted,global_ess_gate,0.4,176,True,False,x0>1 & x2>1,"[0.29, 0.43]",0.6784787665728025,3.9175249404271275,0.8275934535532649,632.741808088254,95,95,False
planted,local_ess_gate,0.4,176,True,False,x0>1,"[0.29, 0.43]",0.6560534825223735,28.710223465424892,0.305706480537287,632.741808088254,95,55,False
planted,simultaneous_ci,0.4,176,True,False,x0>1,"[0.29, 0.43]",0.6560534825223735,28.710223465424892,0.305706480537287,632.741808088254,95,95,False
null,naive_max,0.4,177,True,False,x2>1,"[0.43, 0.57]",0.3969106146228831,6.005324009899475,0.672514058208064,664.1855408516448,102,102,False
null,global_ess_gate,0.4,177,True,False,x2>1,"[0.43, 0.57]",0.3969106146228831,6.005324009899475,0.672514058208064,664.1855408516448,102,102,False
null,local_ess_gate,0.4,177,False,False,x0<-0.5,"[0.29, 0.43]",0.16037929184622593,33.48748585776536,0.2847923490137294,664.1855408516448,102,59,False
null,simultaneous_ci,0.4,177,False,False,x2>1,"[0.43, 0.57]",0.3969106146228831,6.005324009899475,0.672514058208064,664.1855408516448,102,102,False
planted,naive_max,0.4,177,True,False,x0>1,"[0.14, 0.29]",0.7054023998652837,5.723216318047442,0.6888894103613277,664.1855408516448,102,102,False
planted,global_ess_gate,0.4,177,True,False,x0>1,"[0.14, 0.29]",0.7054023998652837,5.723216318047442,0.6888894103613277,664.1855408516448,102,102,False
planted,local_ess_gate,0.4,177,True,False,x0>0.5,"[0.14, 0.29]",0.6434201207256459,22.49313637098941,0.3474918163966528,664.1855408516448,102,59,True
planted,simultaneous_ci,0.4,177,True,False,x0>0.5,"[0.14, 0.29]",0.6434201207256459,22.49313637098941,0.3474918163966528,664.1855408516448,102,102,True
null,naive_max,0.4,178,True,False,x0>1.5 & x1>1,"[0.57, 0.71]",0.34465285345821783,2.732775311704566,0.9985855721232262,632.9073711207151,104,104,False
null,global_ess_gate,0.4,178,True,False,x0>1.5 & x1>1,"[0.57, 0.71]",0.34465285345821783,2.732775311704566,0.9985855721232262,632.9073711207151,104,104,False
null,local_ess_gate,0.4,178,True,False,x2<-0.5,"[0.43, 0.57]",0.21608531713284954,41.79940664483724,0.2553302034440955,632.9073711207151,104,62,False
null,simultaneous_ci,0.4,178,False,False,x0>1.5 & x1>1,"[0.57, 0.71]",0.34465285345821783,2.732775311704566,0.9985855721232262,632.9073711207151,104,104,False
planted,naive_max,0.4,178,True,False,x0>0.5,"[0.29, 0.43]",0.6053303736451509,31.382987406385112,0.2946728397829551,632.9073711207151,104,104,True
planted,global_ess_gate,0.4,178,True,False,x0>0.5,"[0.29, 0.43]",0.6053303736451509,31.382987406385112,0.2946728397829551,632.9073711207151,104,104,True
planted,local_ess_gate,0.4,178,True,False,x0>0.5,"[0.29, 0.43]",0.6053303736451509,31.382987406385112,0.2946728397829551,632.9073711207151,104,62,True
planted,simultaneous_ci,0.4,178,True,False,x0>0.5,"[0.29, 0.43]",0.6053303736451509,31.382987406385112,0.2946728397829551,632.9073711207151,104,104,True
null,naive_max,0.4,179,True,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.39572719614382557,2.849384247567518,0.9840801113341664,624.630999629421,112,112,False
null,global_ess_gate,0.4,179,True,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.39572719614382557,2.849384247567518,0.9840801113341664,624.630999629421,112,112,False
null,local_ess_gate,0.4,179,True,False,x0<-0.5,"[0.29, 0.43]",0.2051583587980533,25.09293758748562,0.33161197939784354,624.630999629421,112,62,False
null,simultaneous_ci,0.4,179,False,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.39572719614382557,2.849384247567518,0.9840801113341664,624.630999629421,112,112,False
planted,naive_max,0.4,179,True,False,x0>1 & x1>1,"[0.14, 0.29]",0.6735778174048999,6.423746124134071,0.6554080628969324,624.630999629421,112,112,False
planted,global_ess_gate,0.4,179,True,False,x0>1 & x1>1,"[0.14, 0.29]",0.6735778174048999,6.423746124134071,0.6554080628969324,624.630999629421,112,112,False
planted,local_ess_gate,0.4,179,True,False,x0>0.5,"[0.14, 0.29]",0.600787508754142,55.10279008743718,0.2237789178486973,624.630999629421,112,62,True
planted,simultaneous_ci,0.4,179,True,False,x0>0.5,"[0.14, 0.29]",0.600787508754142,55.10279008743718,0.2237789178486973,624.630999629421,112,112,True
null,naive_max,0.4,180,True,False,x0>1.5 & x2>1.5,"[0.14, 0.29]",0.5018043327239629,2.0019401518698614,1.174909433188121,586.3385809167512,113,113,False
null,global_ess_gate,0.4,180,True,False,x0>1.5 & x2>1.5,"[0.14, 0.29]",0.5018043327239629,2.0019401518698614,1.174909433188121,586.3385809167512,113,113,False
null,local_ess_gate,0.4,180,False,False,x1>0.5,"[0.29, 0.43]",0.1740482515444943,41.61174246911703,0.2577044896330731,586.3385809167512,113,58,False
null,simultaneous_ci,0.4,180,False,False,x0>1.5 & x2>1.5,"[0.14, 0.29]",0.5018043327239629,2.0019401518698614,1.174909433188121,586.3385809167512,113,113,False
planted,naive_max,0.4,180,True,False,x1>1 & x2>1,"[0.00, 0.14]",0.8877205442598052,2.8283929865832476,0.9884621860955461,586.3385809167512,113,113,False
planted,global_ess_gate,0.4,180,True,False,x1>1 & x2>1,"[0.00, 0.14]",0.8877205442598052,2.8283929865832476,0.9884621860955461,586.3385809167512,113,113,False
planted,local_ess_gate,0.4,180,True,False,x0>1,"[0.29, 0.43]",0.6310997135223562,21.437138487933836,0.35904305368032335,586.3385809167512,113,58,False
planted,simultaneous_ci,0.4,180,True,False,x0>1,"[0.29, 0.43]",0.6310997135223562,21.437138487933836,0.35904305368032335,586.3385809167512,113,113,False
null,naive_max,0.4,181,True,False,x0>1 & x2>1,"[0.43, 0.57]",0.48914339219070396,4.709684272845876,0.7648613774268215,594.7918191959179,111,111,False
null,global_ess_gate,0.4,181,True,False,x0>1 & x2>1,"[0.43, 0.57]",0.48914339219070396,4.709684272845876,0.7648613774268215,594.7918191959179,111,111,False
null,local_ess_gate,0.4,181,True,False,x2<-0.5,"[0.29, 0.43]",0.20305897162249992,22.541856997195413,0.3496099490144458,594.7918191959179,111,57,False
null,simultaneous_ci,0.4,181,False,False,x0>1 & x2>1,"[0.43, 0.57]",0.48914339219070396,4.709684272845876,0.7648613774268215,594.7918191959179,111,111,False
planted,naive_max,0.4,181,True,False,x0>1,"[0.29, 0.43]",0.6639688341298929,10.090941043327502,0.5225318819972774,594.7918191959179,111,111,False
planted,global_ess_gate,0.4,181,True,False,x0>1,"[0.29, 0.43]",0.6639688341298929,10.090941043327502,0.5225318819972774,594.7918191959179,111,111,False
planted,local_ess_gate,0.4,181,True,False,x0>0.5,"[0.14, 0.29]",0.5824767529611742,20.33614547716122,0.3680817696373171,594.7918191959179,111,57,True
planted,simultaneous_ci,0.4,181,True,False,x0>0.5,"[0.14, 0.29]",0.5824767529611742,20.33614547716122,0.3680817696373171,594.7918191959179,111,111,True
null,naive_max,0.4,182,True,False,x0>1 & x2>1,"[0.43, 0.57]",0.5370381297065145,3.7514386742833823,0.8563453345868826,612.8598206845127,110,110,False
null,global_ess_gate,0.4,182,True,False,x0>1 & x2>1,"[0.43, 0.57]",0.5370381297065145,3.7514386742833823,0.8563453345868826,612.8598206845127,110,110,False
null,local_ess_gate,0.4,182,True,False,x2>0.5,"[0.43, 0.57]",0.2796756355636098,21.851392567562062,0.3548201719322861,612.8598206845127,110,61,False
null,simultaneous_ci,0.4,182,False,False,x0>1 & x2>1,"[0.43, 0.57]",0.5370381297065145,3.7514386742833823,0.8563453345868826,612.8598206845127,110,110,False
planted,naive_max,0.4,182,True,False,x0>1.5 & x2>1.5,"[0.00, 0.14]",0.9626202495477629,1.952606795985175,1.1869719701960326,612.8598206845127,110,110,False
