weight_mode,shift_strength,seed,global_ess,q10_local_ess,median_local_ess,worst_group_noise,false_alarm_005,false_alarm_010
oracle,0.4,0,304.4777859759878,1.7463394618111152,11.363054738452586,0.038886735652447116,False,False
oracle,0.4,1,293.9238918602754,2.1413181386376485,10.995150424129367,0.03448550071353855,False,False
oracle,0.4,2,272.5602241365004,2.9467146981869345,12.563849025791301,0.03574903605279301,False,False
oracle,0.4,3,307.6168282282782,2.562403842499378,12.934722774820603,0.04834090300714441,False,False
oracle,0.4,4,310.3639243330545,2.091061166460481,10.309531875718502,0.050071640116481075,True,False
oracle,0.4,5,323.42796467999193,3.852221518360798,13.654273307686159,0.03614170588704867,False,False
oracle,0.4,6,323.0129077297932,3.037163465501907,15.00914332599713,0.04440158187897721,False,False
oracle,0.4,7,315.85416005236794,3.7803806843589056,13.834921357747875,0.03433561175887107,False,False
oracle,0.4,8,294.8707144262957,4.017177551420805,15.186070502739382,0.03384956652642135,False,False
oracle,0.4,9,316.32068867932117,3.2044843403210534,15.715902672588308,0.03880167728644752,False,False
oracle,0.4,10,336.33965363608905,4.850949039698742,13.798590913622421,0.03568836136861257,False,False
oracle,0.4,11,308.98664863102505,1.9982122647868898,11.033174171904736,0.04243238399349662,False,False
oracle,0.4,12,332.413343649809,3.5359888756315354,12.137913300918942,0.04278027150610605,False,False
oracle,0.4,13,321.4582387742949,3.3654232004279074,12.283414611205384,0.05329282995780092,True,False
oracle,0.4,14,319.2427243284535,2.2839897512977956,11.989992120912396,0.05090462361479699,True,False
oracle,0.4,15,335.7589816425342,3.390193483637469,12.799848976526542,0.026571622117343388,False,False
oracle,0.4,16,296.92029072449895,2.6316325333732045,12.033783852009158,0.034307479885199735,False,False
oracle,0.4,17,318.8671012786986,3.40797871598813,13.438540848487264,0.04287865081175586,False,False
oracle,0.4,18,256.4179597608055,2.479574293039905,12.504376798171988,0.04820239358877619,False,False
oracle,0.4,19,277.5681731642302,3.964549826689719,12.895338112490645,0.03650747795087727,False,False
oracle,0.4,20,319.84213304684226,5.478307166766157,15.62084218723258,0.03352478381039094,False,False
oracle,0.4,21,308.2205967218737,5.655273364439835,16.639902693199588,0.03967640517351387,False,False
oracle,0.4,22,297.8854057235819,1.7081328937696203,9.13543371010881,0.040898863740775886,False,False
oracle,0.4,23,293.3590812809224,1.8912716435728267,9.263319173112592,0.040821886507081795,False,False
oracle,0.4,24,295.83468121283335,1.9951288056885883,11.868869783201927,0.04469928669573865,False,False
oracle,0.4,25,288.6401765255677,2.0131303578551636,10.884209166823137,0.039658568654885665,False,False
oracle,0.4,26,324.9598820218274,2.682889247897668,11.19687957567441,0.03954472478486203,False,False
