scenario_name,scenario_family,case_id,case_label,case_value,baseline,baseline_category,seed,pattern,reference_accuracy,target_accuracy,reference_ece,target_ece,delta_accuracy,delta_ece,delta_log_loss,worst_group_accuracy_gap,worst_group_ece_gap,worst_group_delta_accuracy,worst_group_delta_ece,masked_accuracy_drop,masked_calibration_drift,concentrated_failures,top_discovered_slice,policy_name,score_method,threshold,target_coverage,target_abstention_rate,target_selective_accuracy,target_selective_risk,target_risk_reduction,target_selective_ece,target_ece_reduction,subgroup_abstention_gap
paper_hidden_failure_case,subgroup_degradation,masked_subgroup_shift,masked subgroup shift,masked subgroup shift,raw_model,reliability,17,masked_subgroup_shift,0.7538461538461538,0.6730769230769231,0.05215687347061968,0.1262896840705041,-0.0807692307692307,0.07413281059988441,0.1162849875574804,,,,,,,,,,,,,,,,,,,
paper_hidden_failure_case,subgroup_degradation,masked_subgroup_shift,masked subgroup shift,masked subgroup shift,subgroup_audit,audit,17,masked_subgroup_shift,,0.6730769230769231,,0.1262896840705041,-0.0807692307692307,0.07413281059988441,0.1162849875574804,0.11752136752136755,0.13862284714965736,-0.17578772802653397,0.15826733431769807,False,False,True,score <= 1.478 and score > -0.655,,,,,,,,,,,
paper_hidden_failure_case,subgroup_degradation,masked_subgroup_shift,masked subgroup shift,masked subgroup shift,weighted_confidence_abstention,selective,17,masked_subgroup_shift,,,,,,,,,,,,,,,,confidence_abstention,confidence,0.6268314374946852,0.7038461538461539,0.2961538461538461,0.6830601092896175,0.31693989071038253,0.04075241698192511,0.13025650230966432,-0.018129477432168348,0.030935489193202437
paper_hidden_failure_case,subgroup_degradation,masked_subgroup_shift,masked subgroup shift,masked subgroup shift,raw_model,reliability,29,masked_subgroup_shift,0.7538461538461538,0.7346153846153847,0.07949026085843737,0.047878393046036714,-0.019230769230769162,-0.031611867812400656,0.026734075446246286,,,,,,,,,,,,,,,,,,,
paper_hidden_failure_case,subgroup_degradation,masked_subgroup_shift,masked subgroup shift,masked subgroup shift,subgroup_audit,audit,29,masked_subgroup_shift,,0.7346153846153847,,0.047878393046036714,-0.019230769230769162,-0.031611867812400656,0.026734075446246286,0.12097902097902102,0.24595756844738295,-0.07207792207792207,0.24130157462537782,True,True,True,signal > -0.675 and signal <= 0.734,,,,,,,,,,,
paper_hidden_failure_case,subgroup_degradation,masked_subgroup_shift,masked subgroup shift,masked subgroup shift,weighted_confidence_abstention,selective,29,masked_subgroup_shift,,,,,,,,,,,,,,,,confidence_abstention,confidence,0.6071665381191028,0.7769230769230769,0.22307692307692306,0.7623762376237624,0.2376237623762376,0.05083777608530082,0.05153476280722681,0.002149948463157768,0.008924485125858195
