weight_mode,shift_strength,seed,group,bin,n_active,global_ess,bin_group_ess,target_mass_est,abs_theta_hat,abs_normalized_gap
logistic,0.8,0,x0>0.5,"[0.00, 0.14]",20,82.87999661715664,4.520105816653649,0.06420450537247926,0.00305134303198664,0.04752537246855847
logistic,0.8,0,x0>0.5,"[0.14, 0.29]",19,82.87999661715664,11.410215318052307,0.042536350765163274,0.0030351870969422107,0.07135513607406094
logistic,0.8,0,x0>0.5,"[0.29, 0.43]",24,82.87999661715664,12.648764363365288,0.07158963758858411,0.0034053625862405456,0.04756781429472658
logistic,0.8,0,x0>0.5,"[0.43, 0.57]",19,82.87999661715664,4.106216145961263,0.11397274507510641,0.004523712823701601,0.039691180735539344
logistic,0.8,0,x0>0.5,"[0.57, 0.71]",18,82.87999661715664,5.085124148514516,0.0595242780277186,0.011870812964699488,0.1994280881352584
logistic,0.8,0,x0>0.5,"[0.71, 0.86]",22,82.87999661715664,6.209502672103684,0.11999083752878352,0.017549701248636286,0.14625867782968385
logistic,0.8,0,x0>0.5,"[0.86, 1.00]",16,82.87999661715664,3.2056812840697853,0.07900078776450462,0.008357867540960228,0.1057947367040744
logistic,0.8,0,x0>1,"[0.00, 0.14]",8,82.87999661715664,2.850105133561506,0.050313919730212986,0.0028635682879031956,0.05691403697541085
logistic,0.8,0,x0>1,"[0.14, 0.29]",10,82.87999661715664,4.565179736192347,0.021229077308193983,0.0019865867232790597,0.09357857124163747
logistic,0.8,0,x0>1,"[0.29, 0.43]",13,82.87999661715664,9.060246481680473,0.05264393211261933,0.006536198535476926,0.12415863088445343
logistic,0.8,0,x0>1,"[0.43, 0.57]",7,82.87999661715664,1.71992022223491,0.057068643369032744,0.01650258103543656,0.289170726010133
logistic,0.8,0,x0>1,"[0.57, 0.71]",7,82.87999661715664,3.921941556074202,0.019832483659008995,0.0034748833401105784,0.17521170821850635
logistic,0.8,0,x0>1,"[0.71, 0.86]",11,82.87999661715664,3.4795982594631116,0.08332454586169075,0.01307419667386694,0.15690690586623315
logistic,0.8,0,x0>1,"[0.86, 1.00]",7,82.87999661715664,2.6488237319200763,0.07158351318144021,0.007969115179405706,0.11132612560110973
logistic,0.8,0,x0>1.5,"[0.00, 0.14]",4,82.87999661715664,1.6160280657567063,0.03486417979470303,0.004724614853315901,0.13551487174333926
logistic,0.8,0,x0>1.5,"[0.14, 0.29]",1,82.87999661715664,1.0,0.003525385916489874,0.0007266438406632591,0.20611753092460233
logistic,0.8,0,x0>1.5,"[0.29, 0.43]",3,82.87999661715664,2.1496879525084567,0.01636039977667897,0.005391682094580917,0.3295568670801384
logistic,0.8,0,x0>1.5,"[0.43, 0.57]",4,82.87999661715664,1.3118510964262362,0.013869290165964797,0.00639546033191416,0.4611238394599749
logistic,0.8,0,x0>1.5,"[0.57, 0.71]",2,82.87999661715664,1.9760348900639224,0.005345325799863454,0.0011375520146519264,0.21281247528092398
logistic,0.8,0,x0>1.5,"[0.71, 0.86]",6,82.87999661715664,3.979456420616678,0.03310179440214087,0.005179865065874121,0.15648290853800695
logistic,0.8,0,x0>1.5,"[0.86, 1.00]",3,82.87999661715664,1.726826947627206,0.05664989680671696,0.006215468318116118,0.10971720459302146
logistic,0.8,0,x0<-0.5,"[0.00, 0.14]",34,82.87999661715664,14.75042668779518,0.020242231739200003,0.0010554351194011298,0.05214025474064857
logistic,0.8,0,x0<-0.5,"[0.14, 0.29]",20,82.87999661715664,8.118083611197862,0.008288913694685252,0.00012165197508820174,0.014676467818238175
logistic,0.8,0,x0<-0.5,"[0.29, 0.43]",30,82.87999661715664,9.143603011037976,0.014881094383647065,0.0019227091419148647,0.12920482138919448
logistic,0.8,0,x0<-0.5,"[0.43, 0.57]",27,82.87999661715664,13.48901360761094,0.01318741516462128,0.0021182078403137006,0.160623428766871
logistic,0.8,0,x0<-0.5,"[0.57, 0.71]",13,82.87999661715664,7.672281616418103,0.004855837359643333,0.0001228615528959554,0.025301826193161406
logistic,0.8,0,x0<-0.5,"[0.71, 0.86]",17,82.87999661715664,9.028495453197053,0.011583972836212712,0.0008278711115638717,0.07146694171932623
logistic,0.8,0,x0<-0.5,"[0.86, 1.00]",25,82.87999661715664,7.035411664569331,0.019056038663596817,0.00032092555547632185,0.01684114737284792
logistic,0.8,0,x0<0,"[0.00, 0.14]",47,82.87999661715664,20.283058757526607,0.03636732296440309,0.0013563008609675422,0.037294492704208954
logistic,0.8,0,x0<0,"[0.14, 0.29]",37,82.87999661715664,14.508776184283926,0.02005147285888952,0.001003746926128922,0.05005851356619552
logistic,0.8,0,x0<0,"[0.29, 0.43]",44,82.87999661715664,14.413559889902738,0.02906388761714167,0.00178997673290913,0.061587656699216446
logistic,0.8,0,x0<0,"[0.43, 0.57]",39,82.87999661715664,9.76378734357731,0.03390212570539222,0.007413718033316052,0.2186800349258596
logistic,0.8,0,x0<0,"[0.57, 0.71]",22,82.87999661715664,11.05077222780096,0.011858169728508233,0.0015536552483184413,0.13101981873166293
logistic,0.8,0,x0<0,"[0.71, 0.86]",27,82.87999661715664,7.785098645613276,0.029156253350190186,0.0028614802390076765,0.09814293368352184
logistic,0.8,0,x0<0,"[0.86, 1.00]",44,82.87999661715664,14.769135149832376,0.03730804415018788,0.002845017557797548,0.07625748340879505
logistic,0.8,0,x1>0.5,"[0.00, 0.14]",7,82.87999661715664,2.3267429623037073,0.04245878322023057,0.002335577095360132,0.05500810240476432
logistic,0.8,0,x1>0.5,"[0.14, 0.29]",9,82.87999661715664,4.104188488768372,0.05529747866697444,0.029318169421994698,0.530189985669356
logistic,0.8,0,x1>0.5,"[0.29, 0.43]",11,82.87999661715664,6.386814449640109,0.03025720617195178,0.0030301992844513352,0.10014801985453327
logistic,0.8,0,x1>0.5,"[0.43, 0.57]",30,82.87999661715664,7.056136722986379,0.1605724835730739,0.007483569044038483,0.046605550823611896
logistic,0.8,0,x1>0.5,"[0.57, 0.71]",19,82.87999661715664,6.65433594238984,0.0779475242923754,0.011499201204708138,0.14752490613525426
logistic,0.8,0,x1>0.5,"[0.71, 0.86]",26,82.87999661715664,5.795751792286952,0.11282593282481176,0.018100328642966852,0.16042702408737697
logistic,0.8,0,x1>0.5,"[0.86, 1.00]",40,82.87999661715664,8.744808018047022,0.1409191613102491,0.007653057463277721,0.05430813944761332
logistic,0.8,0,x1>1,"[0.00, 0.14]",3,82.87999661715664,2.2247102220563137,0.007833169070599614,0.0003884668092970303,0.04959254751120723
logistic,0.8,0,x1>1,"[0.14, 0.29]",2,82.87999661715664,1.3626631518707182,0.017530619130476148,0.013508321615273605,0.7705558779604099
logistic,0.8,0,x1>1,"[0.29, 0.43]",7,82.87999661715664,5.393978819739278,0.016648178278831097,0.00044991971676956944,0.02702516210687523
logistic,0.8,0,x1>1,"[0.43, 0.57]",15,82.87999661715664,5.0592248518277145,0.1343571782478729,0.009665468307276921,0.07193860747391767
logistic,0.8,0,x1>1,"[0.57, 0.71]",9,82.87999661715664,3.9012085870814905,0.05597043223783427,0.010459255941995847,0.18687109467998203
logistic,0.8,0,x1>1,"[0.71, 0.86]",14,82.87999661715664,3.840534860460702,0.09041861216992471,0.015885337599123812,0.17568658949631208
logistic,0.8,0,x1>1,"[0.86, 1.00]",25,82.87999661715664,6.771594049176191,0.12244211554808815,0.006489394837537981,0.05299969547642554
logistic,0.8,0,x1>1.5,"[0.00, 0.14]",2,82.87999661715664,1.5114157662513565,0.0033375932718691095,0.0002809753970841148,0.08418503220638499
logistic,0.8,0,x1>1.5,"[0.14, 0.29]",1,82.87999661715664,1.0,0.014759872399195583,0.01132917985579796,0.7675662464680524
