weight_mode,shift_strength,seed,global_ess,q10_local_ess,median_local_ess,worst_group_noise,false_alarm_005,false_alarm_010
logistic,0.8,0,82.87999661715664,1.0,5.0592248518277145,0.08223560818309984,True,False
logistic,0.8,1,89.86332384542865,1.4397182166419895,4.851787406872077,0.05652122214725465,True,False
logistic,0.8,2,99.23729660002925,1.7069637726438878,6.795075438088812,0.050991346642573016,True,False
logistic,0.8,3,96.81835701056187,1.5867246455148876,6.906940667364292,0.07846328176586367,True,False
logistic,0.8,4,84.2976260913024,1.0,4.039490738068642,0.099457657989646,True,False
logistic,0.8,5,117.47762763388063,1.0,7.933190060996221,0.050124524280596265,True,False
logistic,0.8,6,124.47991943406033,1.7187763207696107,8.073716530699794,0.07469262644860944,True,False
logistic,0.8,7,116.97172337787269,2.7791177544724217,10.448417938573705,0.036664450795822257,False,False
logistic,0.8,8,109.93441710078761,3.3622075179368456,11.977620163212089,0.04445343440247979,False,False
logistic,0.8,9,113.72638526010816,1.9847452358888134,9.721079482669436,0.05559545600151789,True,False
logistic,0.8,10,132.689316722504,1.181284351118198,6.265424632781006,0.06818082316712308,True,False
logistic,0.8,11,101.38127441939439,1.4260835040411328,5.4153405829432,0.0820099130029432,True,False
logistic,0.8,12,126.49092742603095,1.603550572763763,6.071864393967091,0.07055615668752432,True,False
logistic,0.8,13,128.40776182977072,1.7883891928846,6.570267878764371,0.07902170129596994,True,False
logistic,0.8,14,117.10337306338133,1.0,5.5276909352044825,0.09736582475032997,True,False
logistic,0.8,15,122.16649978290818,1.5953433674129704,6.8396599137546055,0.04811118948603135,False,False
logistic,0.8,16,90.68416887638968,1.7725112143841482,5.919154352415753,0.06504207860551191,True,False
logistic,0.8,17,121.12723250771641,1.0,6.297575099108459,0.06530405588122332,True,False
logistic,0.8,18,99.63587828655132,1.0,5.430725185924085,0.09992074938119959,True,False
logistic,0.8,19,82.13646168667893,2.5730793520443336,7.679117356522336,0.0625558479562715,True,False
logistic,0.8,20,107.97592278284954,2.543593407787562,13.173081351956865,0.038569807363104544,False,False
logistic,0.8,21,133.6675885518935,2.6725058277208245,11.209994625917407,0.05907279373477529,True,False
logistic,0.8,22,90.88013211557669,1.0,4.473038089324902,0.07145053347866567,True,False
logistic,0.8,23,87.17293739391636,1.0,4.094297483824392,0.07681390083495165,True,False
logistic,0.8,24,82.68934939592077,1.1985521121411693,6.009817404049759,0.08131292013180572,True,False
logistic,0.8,25,101.79222009911844,1.0,4.583426768883347,0.07872945190851136,True,False
logistic,0.8,26,105.8498023651902,1.3694461990740643,5.795089911620747,0.07029533250518359,True,False
logistic,0.8,27,95.18739692213153,1.0,4.4189356619921325,0.07477980787779646,True,False
logistic,0.8,28,83.86622891714228,1.0,3.9229135876551604,0.08524837350871454,True,False
logistic,0.8,29,94.99664886484022,1.0,6.3000978836458295,0.07184539683051111,True,False
logistic,0.8,30,103.38796489630045,1.3964698065481356,8.473349433649473,0.03671268709361177,False,False
logistic,0.8,31,119.7984099967833,1.7023757617748938,6.399864135801945,0.07408664075754823,True,False
logistic,0.8,32,131.19292590822874,1.8329450279658748,7.702732367160816,0.06298455216886738,True,False
logistic,0.8,33,107.7123573653127,1.9205020336785388,6.776174004901922,0.049630239781245804,False,False
logistic,0.8,34,107.6923792353342,3.3897686200051296,11.031576794071524,0.036080039400219574,False,False
logistic,0.8,35,145.41829659549572,1.0,5.6016292179974405,0.07137302991027193,True,False
logistic,0.8,36,95.26290646216832,1.0,3.764347649660851,0.08533513365179779,True,False
logistic,0.8,37,106.20429157021373,1.0,5.77482489238116,0.07203157873575305,True,False
logistic,0.8,38,103.12000132574393,1.2715745009985997,5.597168924090035,0.06761213530622308,True,False
logistic,0.8,39,94.67304063973751,1.3396715443223155,5.560021757183783,0.052712586918443105,True,False
logistic,0.8,40,133.61572086855506,1.561978646565536,7.433689761484235,0.054973117339936324,True,False
logistic,0.8,41,92.14404380076445,1.184811937773572,5.238535145825581,0.07154299563596835,True,False
logistic,0.8,42,89.708801059809,1.0,4.730372540274532,0.10186365870492012,True,True
logistic,0.8,43,102.8674114246485,1.0,4.4308631757022345,0.10665938422359438,True,True
logistic,0.8,44,96.8789172067623,1.558641612208794,6.723853986511374,0.043145752992240334,False,False
